127.0.0.1 - - [22/Jun/2018:11:15:12 +0900] "GET / HTTP/1.1" 404 1019
127.0.0.1 - - [22/Jun/2018:11:15:14 +0900] "GET /Oldmove/ HTTP/1.1" 200 629
127.0.0.1 - - [22/Jun/2018:11:15:14 +0900] "GET /Oldmove/css/style.css HTTP/1.1" 200 4008
127.0.0.1 - - [22/Jun/2018:11:16:18 +0900] "GET /Oldmove/ HTTP/1.1" 200 585
127.0.0.1 - - [22/Jun/2018:11:16:18 +0900] "GET /Oldmove/css/style.css HTTP/1.1" 200 4008
127.0.0.1 - - [22/Jun/2018:11:16:28 +0900] "GET /Oldmove/ HTTP/1.1" 200 585
127.0.0.1 - - [22/Jun/2018:11:16:28 +0900] "GET /Oldmove/css/style.css HTTP/1.1" 200 4008
127.0.0.1 - - [22/Jun/2018:11:16:44 +0900] "GET /Oldmove/ HTTP/1.1" 200 585
127.0.0.1 - - [22/Jun/2018:11:16:44 +0900] "GET /Oldmove/css/style.css HTTP/1.1" 200 4008
